Accession,LOG2 foldchange of130N Sample,Adjusted P Value130N Sample
NP_003086.1,-0.395661406,0.126793912
NP_055975.1,0.515088697,0.187300859
NP_001186600.1,0.401320273,0.276290941
NP_001015880.1,0.695138097,0.891871722
NP_060566.2,-0.473549767,0.146950315
NP_001975.1,0.259605476,0.923422352
NP_004860.2,-0.459183974,0.108360022
XP_024303470.1,0.228353855,0.084702887
NP_443082.2,-0.145266184,0.048035025
NP_000145.1,0.142357075,0.108480634
NP_060058.1,-0.416147652,0.177642554
XP_005258803.1,-0.119087352,0.024095091
NP_060697.4,0.464327226,0.128753368
NP_001243654.1,-0.142489505,0.041345674
NP_004879.1,0.050104449,0.017416028
NP_001089.1,0.201808979,0.045327526
NP_597709.3,-0.228223066,0.15284874
NP_004554.3,0.38868623,0.197877228
NP_005029.1,-0.009313762,0.001608327
NP_001029097.1,-0.04553837,0.027273134
NP_002426.1,0.201839763,0.060708661
NP_001098676.2,0.412274452,0.119516936
NP_001164185.1,-0.09573371,0.03054665
XP_011512318.2,0.458944294,0.298390862
NP_001344.2,0.398530342,0.448095361
NP_075068.2,0.140405851,0.179733607
NP_003674.1,-0.31240851,0.073164622
NP_001157616.1,-0.160057867,0.045348375
NP_777567.1,-0.077608741,0.024803454
NP_003189.2,-0.154053913,0.041627878
NP_001186902.2,-0.005404098,0.004050932
NP_002708.1,0.114445998,0.064457473
NP_001317259.1,-0.479629,0.317789792
NP_001164014.1,0.331687968,0.18506057
NP_005722.1,0.252014211,0.088929751
NP_001241681.1,-0.405437128,0.193577151
NP_002937.1,-0.506185021,0.13241244
NP_705618.1,0.248469002,0.10671649
NP_036256.2,-0.063302177,0.024177007
NP_001139373.1,-0.008143328,0.001436086
NP_056046.1,0.231186271,0.073418946
NP_079491.2,0.122246901,0.038268272
XP_011516800.1,0.213102337,0.0391161
NP_001259004.1,0.204458132,0.054924598
XP_024304262.1,0.564836935,0.413158891
XP_024307267.1,0.008214576,0.002446113
XP_024307075.1,0.339698847,0.158279643
NP_055568.3,-0.044465632,0.017695393
NP_001128714.1,0.579930669,0.360877894
NP_002547.1,0.544499295,0.195782908
NP_612398.2,0.39258571,0.139347897
NP_000985.1,-0.174645139,0.092365603
NP_003338.1,0.089146966,0.07159289
NP_001003796.1,-0.663925365,0.254355924
NP_001189414.1,0.137305388,0.044805102
XP_024304405.1,-0.38221789,0.125595091
NP_002624.2,0.788841365,1.244210102
NP_005331.1,0.150792932,0.076075452
NP_976035.1,-0.021633627,0.005387476
NP_067653.4,0.253348366,0.082289926
XP_011516714.1,0.262370722,0.096300271
XP_024306740.1,0.112125162,0.095973294
XP_011517438.1,0.348928869,0.434631347
NP_002361.1,0.057827787,0.016877023
NP_001091981.1,0.217993486,0.177931207
NP_001120662.1,0.107968994,0.032303351
NP_006444.2,-0.154269203,0.049350138
NP_001018494.1,0.155014424,0.045018221
XP_016885242.1,0.039286664,0.056860044
NP_002825.3,0.378061153,0.214380795
NP_008824.2,-0.030500179,0.01492154
NP_001024.1,-0.141897184,0.086714718
NP_060676.2,0.071751699,0.051277025
NP_001129514.2,-0.01796921,0.007359127
NP_004160.3,0.155085892,0.049268322
NP_006729.4,0.255296513,0.047620841
NP_001288763.1,-0.200625227,0.080401123
NP_002660.1,-0.279862399,0.088965671
XP_011524074.1,0.060458173,0.039981387
NP_004291.1,0.089174912,0.029606403
NP_000108.1,-0.097757601,0.059909627
NP_443077.1,0.125509516,0.086991516
NP_056005.1,-0.26491934,0.04873811
NP_055449.1,-0.073747771,0.023326671
NP_003081.2,-0.147631512,0.048167621
NP_001104262.1,-0.099488427,0.020415727
NP_001138350.1,0.140219675,0.165874362
NP_031385.2,-0.383504862,0.079110516
XP_005274379.1,0.212706696,0.090335305
NP_057392.1,0.223486888,0.051479469
XP_024308991.1,-0.358567576,0.110434938
NP_004556.1,0.151990499,0.04778519
NP_006397.1,0.007835507,0.001798014
NP_054829.2,0.085050771,0.018175948
NP_001135915.1,0.201754392,0.042152488
NP_057484.4,-0.232406894,0.054900623
NP_006701.1,0.130577274,0.028050397
XP_011519299.1,0.213427913,0.084770381
NP_005995.2,-0.11691658,0.040277355
NP_002067.1,-0.055173742,0.067908625
NP_002848.1,-0.15378223,0.109641045
XP_005245506.1,0.337904106,0.307235349
NP_005442.2,0.331562506,0.091199785
NP_001273015.1,0.023806047,0.005984235
NP_060713.1,0.080704918,0.025841736
XP_016874541.1,0.213854841,0.350684463
NP_073568.2,-0.52439692,0.628310464
NP_065098.1,0.097774362,0.029875518
NP_003783.1,-0.232714718,0.135259666
NP_064560.2,-0.018221922,0.004070921
NP_079106.3,-0.076710971,0.026476717
NP_037366.1,-0.23710664,0.067945035
NP_115825.1,0.16026846,0.043929333
NP_000988.1,-0.224089123,0.174253868
NP_852478.1,0.517112996,0.428369621
NP_057538.1,0.033856973,0.011594839
NP_078932.2,-0.435512198,0.197097603
NP_064583.2,-0.158824216,0.053854358
NP_002790.1,0.016217926,0.003230844
NP_065392.1,-0.157922657,0.044095244
NP_001353590.1,0.160045071,0.036400858
NP_006766.1,-0.007092515,0.0025136
NP_004272.2,-0.594713994,0.183144376
NP_110440.1,0.043540543,0.007165231
NP_001356376.1,0.04586118,0.010832253
NP_064708.1,0.335128739,0.092780751
NP_116021.2,0.070003229,0.019151213
NP_001357177.1,0.124459396,0.047124676
NP_036429.2,-0.54528953,0.108332574
NP_003760.1,-0.141870626,0.078569274
NP_057569.2,0.059312633,0.011844795
XP_011531878.1,0.030265047,0.012756699
XP_006720617.1,0.150872042,0.032012629
NP_001171748.1,0.431340745,0.087341738
NP_005850.1,0.282965608,0.124267714
NP_060830.2,-0.233164625,0.402587999
NP_060592.2,0.346756007,0.344834047
NP_001026976.1,0.058522688,0.029827949
NP_002706.1,-0.078808865,0.018901179
NP_055915.2,0.265042991,0.075015705
NP_001353127.1,0.651301584,0.226419994
NP_001123514.1,0.13035162,0.049825202
XP_016859290.1,0.852260019,0.995171624
XP_011523328.1,0.185379428,0.060810419
NP_074036.1,-0.143089082,0.039436674
NP_003070.3,-0.312978903,0.479344012
NP_005879.1,0.426364541,0.394759529
NP_002406.1,-0.110475395,0.068211174
NP_003240.1,0.151559484,0.050062043
NP_002736.3,0.208561517,0.193206353
NP_001272.2,-0.084864591,0.220456702
NP_001290472.1,-0.016333798,0.015559251
NP_835361.1,0.267707822,0.313485131
NP_858058.1,0.201302117,0.055001797
NP_000089.1,0.597869221,0.215921421
NP_000969.1,0.121028442,0.077573647
NP_006293.2,0.358530522,0.124001917
NP_055768.3,0.260132216,0.095713626
NP_006102.2,0.58572606,0.218206948
NP_001030312.2,-0.068243413,0.019541048
NP_056281.1,0.446405096,0.348047142
NP_075384.4,-0.091819648,0.025130785
NP_001675.3,0.737891935,0.262850568
NP_055693.4,-0.076863446,0.064707893
NP_076956.1,-0.622803071,0.23117818
NP_001136120.1,0.113352063,0.043381496
XP_005256178.1,-0.267477614,0.080692752
NP_004992.2,-0.591735838,0.199305652
NP_065147.1,0.262851911,0.058611776
NP_003840.2,0.25631315,0.164547774
NP_001403.1,-0.238614592,0.066285659
XP_016871767.1,0.575442812,0.270449824
NP_001268400.1,0.437653506,0.101283205
NP_061848.2,-0.025868619,0.004358772
NP_001180286.1,0.179189703,0.050116681
NP_002328.1,-0.031987668,0.014117901
NP_000509.1,-0.661352212,0.183020293
NP_001034554.1,-0.086074209,0.119889856
NP_115984.3,-0.250203427,0.271726873
NP_001139699.1,-0.544863195,0.842274052
NP_003130.2,0.239544003,0.046685501
NP_004413.1,0.11441239,0.031878913
NP_001341605.1,0.301598384,0.076353215
NP_071896.8,0.171331583,0.07844115
NP_976225.1,-0.034663682,0.022828582
NP_001073884.1,-0.066432623,0.090894147
NP_002970.2,0.062017327,0.015725541
NP_008974.5,-0.157727383,0.042128751
NP_000353.1,1.183917199,1.92177255
XP_005246794.1,0.078741048,0.052755791
NP_689520.2,0.140623259,0.076549239
NP_001350687.1,0.018794915,0.005350233
NP_001349807.1,0.295046741,0.091828871
NP_000143.2,0.271793183,0.078155366
NP_001339425.1,0.210843384,0.070377804
NP_001305092.1,0.141484514,0.063775327
NP_005709.1,0.207454074,0.074152534
NP_055318.2,0.406052788,0.095137597
NP_061832.2,-0.062204807,0.036029232
NP_006236.1,0.04671176,0.02463683
NP_062538.5,-0.198490039,0.058074234
NP_001034271.2,0.254956325,0.102753318
NP_004703.1,-0.22276693,0.124657105
XP_006718549.1,0.601253686,0.146277913
NP_001230575.1,-0.099129698,0.030697248
NP_056229.2,-0.286657135,0.08948466
XP_005256774.1,-0.254958241,0.396354049
NP_064628.1,-0.443661035,0.094084263
NP_004086.1,-0.141243619,0.034891281
XP_005260495.1,0.068074805,0.037628069
NP_001668.1,0.218658447,0.074596822
XP_016885226.1,-0.212965617,0.039408072
NP_055454.1,0.521293182,0.185712764
NP_115679.2,0.277664973,0.151103553
NP_003155.2,-0.007295858,0.002072812
NP_005611.1,-0.111667404,0.084738784
XP_016858330.1,0.038978605,0.012048371
XP_011533514.1,0.073709854,0.019601059
XP_016869748.1,-0.283601671,0.163239268
NP_001034679.2,0.710381304,0.328586046
NP_001013455.1,-0.141575118,0.039195516
NP_002991.2,0.403896069,0.29834569
NP_001598.1,0.334319239,0.117745708
NP_002614.2,0.058746443,0.018890861
XP_006719826.1,-0.024971526,0.004919679
NP_001231509.1,0.183279649,0.041129528
NP_057131.1,-0.438929951,0.216463388
NP_001317398.1,0.104974591,0.108399396
XP_011523281.1,0.36391251,0.182450051
NP_001274271.1,-1.160989386,0.52784164
NP_060853.3,0.006666786,0.003064518
XP_016880525.1,-0.4212219,0.097121465
NP_005958.1,0.087065488,0.025100392
NP_001344607.1,0.846654549,0.310038049
NP_001157940.1,0.52029886,0.184882879
NP_001135766.1,0.040157032,0.015914668
NP_115593.3,-0.026070249,0.00481369
NP_001122388.1,-0.032907201,0.011680756
NP_001289978.1,-0.474128007,0.249032825
NP_036347.1,0.138361698,0.05663418
NP_002779.1,0.146902577,0.071072561
NP_001239007.1,0.361520891,0.177391091
NP_001177874.1,0.897780848,0.609014342
NP_001163887.1,0.162000638,0.241857751
XP_016874923.1,-0.107419639,0.035122095
NP_001138829.1,0.107541763,0.044215066
NP_006303.4,0.083386052,0.026907663
NP_003067.3,-0.24867291,0.044021731
NP_060898.2,-0.028008517,0.008593075
NP_002759.2,-0.159731236,0.221276079
NP_005073.2,0.256437834,0.086860048
NP_003237.2,0.612486579,0.235091325
XP_016867753.1,0.317548906,0.114882859
NP_001073331.1,0.021866104,0.015283643
NP_006775.1,0.192484135,0.05834523
NP_031401.1,-0.274275172,0.095135896
NP_001356412.1,-0.018670572,0.003813076
NP_001341141.1,0.27226941,0.092623518
XP_016856545.1,-0.024504554,0.016103933
NP_001120793.1,-0.655083935,0.165196162
XP_005272372.1,0.054307784,0.011120572
NP_001340295.1,-0.152819686,0.028199892
XP_016882419.1,0.332710214,0.114963036
NP_005893.1,0.794688486,0.281436868
NP_001123356.1,0.360899431,0.072324825
NP_001129204.1,0.080981134,0.019752779
NP_055946.1,-0.180692982,0.044641091
NP_001252.1,-0.167130188,0.04220324
NP_054861.2,0.104209438,0.034251072
NP_003135.2,-0.307233009,0.068247437
NP_060082.2,-0.163169494,0.067999467
NP_004335.1,-0.041347826,0.02836318
NP_057688.3,0.394324496,0.174017239
NP_002789.1,0.144806143,0.220142678
NP_001350617.1,0.393176045,0.238895007
NP_002523.2,0.256016498,0.069817455
NP_060552.4,0.382265131,0.07042238
NP_004721.1,-0.032229506,0.008943056
XP_024309015.1,-0.061087704,0.01916225
NP_004682.2,0.294188651,0.235449632
XP_016880028.1,0.353099255,0.071283928
NP_002259.1,0.252116915,0.090420403
NP_001335456.1,-0.146013008,0.037625407
NP_079100.2,-0.183036951,0.122411426
NP_006058.1,0.245258949,0.123849827
NP_068579.3,0.278656389,0.163129364
NP_061329.3,0.538812527,0.195002864
NP_059122.2,-0.086709292,0.035228478
NP_002112.3,-0.45092998,0.261175906
XP_006713111.1,0.160867277,0.042182774
NP_001026897.1,0.023325702,0.006826887
NP_001355795.1,0.317508526,0.10808826
NP_002194.2,-0.086571978,0.062962917
NP_003125.3,-0.125455164,0.040286213
NP_001278907.1,-0.405667195,0.215564224
NP_060481.3,-0.305380627,0.105873845
NP_001278233.1,-0.310732753,0.063133569
NP_001243546.1,0.187549255,0.088546201
NP_003579.3,0.486187327,0.144360032
NP_001305131.1,0.672917064,0.123893441
NP_004228.1,0.170683891,0.043998311
NP_001528.1,-0.061867127,0.011151982
NP_002097.1,-0.444530893,0.093905829
NP_065101.1,-0.035807078,0.006468588
NP_004136.2,0.432476507,0.125598201
NP_006734.1,-0.549124829,0.392979952
NP_000792.1,0.632158469,0.262597122
NP_001263990.1,-0.153191753,0.042381203
NP_006699.2,-0.195081141,0.229722511
NP_004115.1,0.253937743,0.14301197
NP_001275727.1,-0.41093588,0.272294516
NP_037518.3,0.12547035,0.05839136
NP_054722.2,0.070135717,0.012967318
NP_036336.2,0.246542441,0.06349219
NP_996790.3,0.125226162,0.129392945
NP_000602.1,0.076854074,0.020597033
NP_002786.2,-0.016705324,0.003034649
NP_001306000.1,0.214036094,0.131990282
NP_115587.6,0.523347138,0.130437167
NP_002255.3,0.257528207,0.083880861
NP_055134.2,0.347179249,0.120272636
NP_060945.2,0.005974857,0.00502402
NP_001296373.1,0.433557945,0.093715389
NP_116147.1,-0.346821571,0.141441088
NP_077001.1,-1.018070022,0.341974702
XP_016862616.1,0.208988984,0.055730006
NP_001020.2,-0.038977962,0.010785003
NP_003341.1,0.106550196,0.032287861
NP_612464.1,0.548167497,0.28239091
NP_057085.2,0.175959726,0.057427776
XP_005272072.1,0.408256847,1.05039333
NP_055112.2,0.831946511,0.222601609
NP_055082.1,-0.0478848,0.015463505
NP_001295126.1,0.606522407,0.216269543
NP_904358.2,0.127012167,0.037304766
NP_004989.2,0.344928313,0.069361024
NP_115879.2,-0.263521509,0.100641588
NP_001274355.1,0.50596788,0.722508881
NP_005792.1,-0.234132135,0.084547695
NP_001265585.1,-0.22439454,0.055836208
NP_055950.2,-0.494409777,0.193840452
NP_001101.1,0.247333378,0.057254628
NP_872620.1,-0.481023518,0.202795241
NP_001231.2,0.423865945,0.084641602
XP_005249816.1,0.590971511,0.143930842
NP_001271270.1,0.104991274,0.039801179
NP_001836.3,-0.229903047,0.072757493
NP_001003652.1,0.329818225,0.089546024
XP_016884904.1,0.032520944,0.010298986
NP_001021.1,-0.114808874,0.029088312
NP_001336898.1,-0.102974882,0.043256489
NP_001244900.1,0.859156935,0.15014637
NP_473357.1,-0.389765779,0.181008486
NP_005720.1,0.045310794,0.024866864
NP_001687.1,0.093272086,0.093139956
NP_037466.2,0.317730181,0.104384587
NP_001128119.1,-0.073979481,0.021953186
NP_057025.2,0.033259056,0.00633002
NP_001007158.1,-0.259952148,0.074101342
XP_024306434.1,0.052269326,0.015762112
NP_001311045.1,-0.062923274,0.018224006
NP_055214.1,-0.257665707,0.051152815
NP_001164218.1,-0.367787682,0.212693609
NP_848018.1,-0.19354097,0.045409122
NP_004823.1,0.45782072,1.006678537
NP_001019.1,0.005354015,0.012921239
NP_001291414.1,-0.029622031,0.060417633
NP_612361.1,0.043302453,0.059133762
NP_001342336.1,0.317476188,0.091583416
NP_001001563.2,0.138483892,0.062418311
NP_001036214.1,0.160875451,0.034032066
XP_011528118.1,0.35149884,0.104764883
NP_060654.1,0.170136605,0.061494935
NP_078805.3,0.097445385,0.031624768
NP_005619.1,-0.140833328,0.02826783
NP_001309774.1,0.411974144,0.104580773
NP_005582.1,0.072828342,0.019816506
NP_006362.1,-0.003093987,0.000761011
NP_892021.1,-0.279163663,0.07785457
XP_016879275.2,-0.32976272,0.073753299
XP_016871599.1,0.487199369,0.245132207
NP_003906.2,0.121736046,0.134319515
NP_001258766.1,-0.335027828,0.079083025
NP_001229536.1,0.888818631,0.307535474
NP_002892.1,0.141274031,0.044480433
NP_060386.1,-0.101744988,0.02745655
NP_036243.1,0.199699366,0.060093812
NP_001349806.1,-0.065777132,0.016996864
NP_065385.2,0.429265688,0.153107162
NP_060616.1,-0.150595219,0.047961278
NP_009134.1,0.240422674,0.082571399
XP_016872279.1,-0.195693931,0.163135157
NP_000627.2,1.188869643,0.249534751
NP_002638.2,0.130063937,0.037023738
NP_060937.2,-0.010798022,0.007078963
NP_003745.1,0.021292324,0.007883075
NP_005827.1,-1.414693316,0.22648025
NP_004452.1,-0.07085168,0.015815667
NP_001271.1,-0.324172896,0.187136214
NP_001009552.1,-0.012689347,0.004477742
NP_001356715.1,-0.008332918,0.002615423
NP_004138.1,0.05351778,0.012721034
NP_001191819.1,-0.064807959,0.014911812
NP_005683.2,0.171213661,0.050309909
NP_057056.1,-0.040978355,0.013065638
NP_002788.1,0.226997671,0.230263082
NP_004955.2,-0.037404791,0.010316645
NP_001193997.1,-0.170493697,0.079792405
NP_001269854.1,0.066606299,0.018298843
NP_071739.2,0.101679174,0.033081836
NP_001002836.2,-1.102141436,0.260034664
NP_835461.2,-0.028877636,0.00787489
NP_002479.1,-0.650383558,0.534510201
NP_076424.1,-0.321833449,0.065991479
NP_071761.1,-0.088874358,0.016442826
XP_024307330.1,0.102011638,0.01988604
NP_001290430.1,0.016429666,0.004022037
NP_001600.1,0.10407459,0.036503627
NP_001273737.1,0.258660592,0.072606139
XP_024307098.1,0.082299811,0.01660398
NP_004956.5,-0.215631093,0.108826964
NP_001491.1,0.289237051,0.10729939
NP_001166925.1,0.378714038,0.185724885
XP_005250580.1,0.325025143,0.082881666
XP_011532633.1,0.11378205,0.045542987
NP_057190.2,0.204476249,0.116901556
NP_002957.1,-0.346875828,0.122025553
NP_001350300.1,-0.315319859,0.109584992
NP_006351.2,-0.052685329,0.017461706
NP_001139730.1,0.317436623,0.059897947
NP_005552.3,-0.114354157,0.019434056
XP_016870167.1,0.176455041,0.046279046
NP_006546.1,0.168398998,0.056737555
NP_057267.2,-0.025219492,0.004387266
NP_068817.1,0.308437296,0.169486652
XP_011507656.1,0.107794468,0.182046345
NP_000745.1,0.596761859,0.401816734
XP_024302523.1,0.273542677,0.075129973
NP_060560.1,0.049951824,0.015080324
NP_057494.3,-0.108475393,0.104623253
NP_001910.2,0.322503289,0.259446185
XP_006715563.1,-0.222653265,0.068559771
NP_057134.1,0.036902471,0.008303029
XP_011520278.1,-0.013084698,0.00297584
NP_001308122.1,-0.302810178,0.088369783
NP_000631.1,0.458328783,0.106693793
NP_115992.1,-0.649085301,0.858066846
XP_005266964.1,0.464013438,0.104144981
XP_011515603.1,0.099570802,0.029921146
NP_001303969.1,0.096789787,0.026330604
NP_061895.3,0.353387781,0.156009937
NP_003644.2,0.023374886,0.006603958
NP_036379.2,0.426001134,0.079547802
XP_024308136.1,0.272759962,0.046046893
NP_001138985.1,0.320309393,0.100211401
NP_004872.2,0.041648818,0.008423352
NP_001653.1,0.053702648,0.011652744
NP_008977.1,0.254917317,0.045242985
XP_005268523.1,0.031554636,0.039556526
NP_001295155.1,-0.102865666,0.03184641
NP_005138.3,-0.119777553,0.112615798
NP_001076047.1,-0.401437166,0.094807582
NP_001308374.1,0.625783052,0.30137241
NP_001269964.1,-0.173430865,0.042010354
NP_056365.1,0.367509091,0.126134682
NP_002802.2,-0.32149846,0.083506692
NP_009167.1,0.176709346,0.04280418
NP_004918.1,0.015848166,0.002654503
NP_787072.2,-0.036221895,0.00850642
NP_057137.1,-0.198701552,0.038544276
NP_001358355.1,-0.025228187,0.007346313
NP_001295093.1,0.00163561,0.000370217
NP_001181936.1,-0.252395154,0.075034697
NP_110395.1,0.016084096,0.004516355
NP_001334633.1,-0.061312712,0.019258867
NP_001138940.3,-0.646422416,0.213227677
XP_016856722.1,0.26706228,0.091561721
NP_068810.3,0.133012851,0.050808431
NP_001518.3,-0.353020692,0.065211138
NP_071933.2,0.420084255,0.105666908
XP_011540792.1,-0.296994855,0.08068776
NP_057019.3,0.281355413,0.094779733
NP_001093896.1,0.29794142,0.095486023
NP_005707.1,0.102547446,0.029229952
NP_079092.2,0.065736984,0.018121183
NP_001124151.1,0.003820698,0.001518831
XP_011507899.1,-0.572339104,0.179127625
NP_057390.1,-0.488697274,0.149295783
XP_024302402.1,0.511149521,0.180359973
NP_001273768.1,0.02723243,0.007785216
NP_001304051.1,-0.015178116,0.005146429
NP_004273.1,-0.162757559,0.046669117
NP_036265.3,0.36240516,0.104211495
NP_064621.3,-0.243875059,0.140905229
NP_001186752.1,-0.102278009,0.02320007
NP_001137378.1,-0.373685569,0.077276459
XP_011511152.1,0.725287867,0.170228126
NP_008872.1,-0.298750779,0.116436738
NP_060268.2,-0.134149771,0.041568874
NP_061989.2,-0.048953425,0.046301473
NP_001311404.1,-0.216074862,0.037649448
NP_060755.1,-0.49231261,0.157380062
NP_057678.1,0.761660865,0.172017514
XP_005261854.1,-0.035700865,0.016598028
NP_002204.2,0.351007853,0.253171294
NP_037425.1,-0.223857597,0.053414637
NP_005751.2,-0.150398928,0.029467035
NP_001016.1,-0.052173673,0.016468925
NP_001307684.1,0.043606456,0.012663911
NP_006338.1,-0.430878465,0.089397551
NP_001161066.1,0.375502712,0.088206165
XP_005245370.1,-0.152499915,0.04933936
NP_001014972.1,-0.039683277,0.012425726
NP_001356414.1,-0.371134339,0.112642299
NP_061888.1,0.597818798,0.18313108
NP_008909.1,0.289150108,0.138227168
NP_001308948.1,-0.881538245,0.260719135
NP_054884.1,0.314490761,0.217598533
XP_006718779.1,0.239201506,0.105157252
NP_001015509.1,0.375476105,0.119812847
NP_001304818.1,-0.11870901,0.029253711
NP_036602.1,0.604710018,0.180852173
NP_055545.1,0.283038692,0.079057006
NP_079087.3,-0.177056155,0.035840963
NP_001129123.1,0.044765536,0.015246399
NP_006487.1,0.759120167,0.252530603
NP_001357903.1,0.460117238,0.140492134
NP_004046.2,1.082640263,0.328848929
NP_001014831.1,-0.533280997,0.153935366
NP_001887.1,0.102305723,0.032798285
NP_849193.1,-0.046038823,0.013952837
NP_945314.1,0.322139883,0.104032256
NP_077297.2,-0.016897515,0.004664159
XP_005269515.1,0.519025357,0.104054303
NP_001138778.1,-0.419109373,0.127558518
NP_000148.2,0.240002082,0.084378453
NP_005693.1,-0.011587604,0.003139978
NP_055446.2,0.190851111,0.064515872
YP_003024029.1,-0.071848696,0.020447532
XP_005264880.1,0.320926158,0.109441898
NP_057368.3,0.460273934,0.660221488
NP_001108225.1,0.260182802,0.074216741
NP_005246.2,0.226750399,0.052976023
NP_036454.1,-0.087127197,0.015994198
NP_001174.2,0.335588978,0.056809094
NP_001238833.1,0.460890959,0.605562482
NP_057542.2,-0.195164597,0.045171384
XP_006712180.1,-0.123600778,0.039236884
NP_001474.1,0.33251715,0.179286864
NP_001273501.1,0.025905914,0.005045316
NP_009190.2,0.426302118,0.113245081
NP_001123996.1,0.224094864,0.142986086
NP_073605.4,-0.138903024,0.025526422
NP_001341007.1,-0.093862561,0.026293495
NP_064555.2,0.278492779,0.065443142
XP_011526302.1,0.413384984,0.086669592
NP_001274.1,-0.215407402,0.055009771
NP_115716.1,-0.026631983,0.005478239
NP_001341706.1,-0.13621633,0.0952862
NP_008921.1,0.015530561,0.003650219
NP_001273637.1,0.212150422,0.169701051
XP_024309873.1,0.409779356,0.421071413
NP_057197.2,0.504791468,0.181631887
NP_995314.1,0.262828355,0.137700264
XP_016879514.1,0.091987648,0.029607781
XP_005249549.1,-0.304522253,0.070264022
NP_003907.3,-0.072965154,0.013620856
NP_940916.2,0.591474301,0.140891357
NP_060621.3,-0.207808042,0.054564992
NP_005104.4,0.28670443,0.05050304
NP_057322.2,0.071640555,0.022453808
NP_149100.2,-0.026910562,0.006184931
NP_699160.2,0.675787098,0.232756235
XP_011522151.1,0.325002629,0.084047525
NP_060422.4,0.06326748,0.032201967
XP_016866973.1,0.059998937,0.022500846
NP_056338.2,0.273089207,0.133134163
NP_777571.1,0.013963206,0.006430215
NP_443183.1,-0.350574134,0.064516408
XP_005257516.1,-0.047793539,0.013616518
NP_003163.1,0.373583017,0.076687805
NP_001171485.1,0.113319614,0.037349623
NP_060708.1,0.448501826,0.079229962
XP_006720960.1,0.047179555,0.014302538
NP_031396.1,-0.531280802,0.264967904
NP_001123551.1,0.59560824,0.168263072
NP_001290176.1,0.256605874,0.086900035
NP_061882.2,-0.193787482,0.064450703
NP_000519.2,0.049048174,0.037965553
NP_001272979.1,-0.07458982,0.0151869
NP_002094.2,0.185448139,0.040415933
NP_006556.1,-0.075670763,0.024143735
NP_110382.3,-0.053468538,0.022279463
XP_011543857.1,0.045930636,0.013186369
NP_060828.2,0.14571839,0.026510765
NP_001317.1,-0.062725552,0.015237644
XP_011526907.1,-0.201354862,0.062375682
NP_000088.3,0.351887311,0.11509495
NP_006321.1,0.005632594,0.002959882
XP_011526201.1,0.057367285,0.01784631
NP_004474.2,-0.183843448,0.05845717
XP_024309834.1,0.01741526,0.005463209
NP_068598.1,0.153824551,0.091641684
NP_620305.2,-0.08370095,0.024516092
NP_057292.1,0.292266545,0.055783487
NP_872578.1,0.048073287,0.052469868
NP_005329.3,0.576105913,0.591199539
NP_001073141.1,0.457575943,0.13040793
NP_653317.2,-0.042822307,0.017788628
XP_005270469.1,-0.032441938,0.010507774
XP_016857363.1,0.002583329,0.000784457
NP_003087.1,-0.021166658,0.006882233
NP_057111.1,-0.093234985,0.022616432
NP_116258.2,-0.088998619,0.04546939
NP_001248763.1,-0.013644057,0.004341979
NP_001014433.1,0.173943095,0.067308753
NP_073713.2,0.189300962,0.144265278
NP_001317392.1,0.06001496,0.013794185
NP_077003.1,-0.775563522,0.234262349
XP_005269076.1,0.035261879,0.009915584
NP_078930.4,0.048043304,0.016284765
NP_006467.4,-0.11901889,0.039528933
XP_011518045.1,0.139703339,0.091208618
NP_001188408.1,0.36483961,0.068087304
NP_055186.3,0.042461661,0.016200614
NP_001186621.1,-0.125373611,0.026428444
NP_005116.1,0.112519591,0.028456623
NP_009140.1,-0.086998371,0.446413557
NP_115875.1,0.081828918,0.025474167
NP_071942.1,-0.073997565,0.014626771
NP_057381.3,-0.091314177,0.017775375
NP_001119601.1,-0.161070982,0.05990192
NP_001001975.1,-0.085849918,0.020910875
NP_689478.1,-0.052545092,0.011168491
NP_001123237.1,0.346525816,0.206522653
NP_005779.1,-0.356983364,0.076115774
NP_065777.1,-0.260916028,0.072637909
NP_064711.1,0.29440258,0.093973989
NP_062826.2,-0.144713987,0.036073771
XP_005273819.1,0.877375001,0.206008886
NP_004932.1,0.037292949,0.007552894
NP_001354490.1,0.410278527,0.0793996
XP_005272318.1,0.406136662,0.085606296
NP_002755.1,0.220693415,0.067972054
NP_001073286.1,-0.211557318,0.040024107
XP_024309047.1,0.021991582,0.006626408
XP_005249588.1,-0.015521586,0.004955621
NP_054727.1,0.540467047,0.209538387
NP_001273677.1,-0.04236564,0.007642917
XP_005264438.1,-0.153501737,0.031824809
NP_055871.1,0.126963731,0.036368732
XP_011534642.1,0.075827914,0.022785869
NP_076943.1,-0.736940935,0.141434797
NP_060831.2,0.670036544,0.418100917
NP_079104.3,-0.132850644,0.044248401
XP_024306664.1,0.184275292,0.040617798
XP_016875257.1,-0.336111474,0.648416028
NP_004266.2,0.055328119,0.013291438
NP_490597.1,-0.284316138,0.080341079
XP_011533354.1,-0.104381925,0.024782736
NP_001161328.1,0.016112043,0.005095806
XP_005274808.1,0.107772728,0.02278662
NP_872353.2,-0.103792344,0.114302477
NP_004036.1,0.141900418,0.21842047
NP_951032.1,0.395057671,0.135791624
NP_004805.2,-0.004499266,0.004326868
NP_060418.4,0.083899824,0.014806216
NP_775873.2,0.413833292,0.178152723
NP_009165.1,0.271541456,0.070928189
NP_001317135.1,0.184004813,0.057183979
